billing_period,resource_id,service,resource_name,region,team,owner_email,cost_center,environment,created_date,is_active
2024-01,db-053eb,Amazon RDS,amazon_rds_-053eb,eu-west-1,ml-engineering,mlteam@technova.de,CC-1005,production,2023-05-28,True
2024-02,eks-prod-cluster,Amazon EKS,eks-prod-cluster,eu-central-1,backend,,,,2023-07-25,True
2024-03,i-0025b36,Amazon EC2,amazon_ec2_025b36,eu-central-1,ml-engineering,mlteam@technova.de,CC-1005,production,2023-10-17,True
2024-01,i-0025d1b,Amazon EC2,amazon_ec2_025d1b,us-east-1,backend,,,,2022-11-10,True
2024-02,fn-notify,AWS Lambda,fn-notify,eu-central-1,mobile,mobile@technova.de,CC-1004,production,2023-08-09,True
2024-05,cache-000,Amazon ElastiCache,amazon_elasticache_he-000,eu-central-1,backend,backend@technova.de,CC-1001,production,2023-02-27,True
2024-02,dt-backup,AWS Data Transfer,dt-backup,eu-central-1,devops,devops@technova.de,CC-1003,production,2023-01-06,True
2024-03,i-005cf07,Amazon EC2,amazon_ec2_05cf07,eu-west-1,mobile,mobile@technova.de,CC-1004,production,2022-07-13,True
2024-02,i-005ca6d,Amazon EC2,amazon_ec2_05ca6d,eu-central-1,ml-engineering,mlteam@technova.de,CC-1005,staging,2024-03-26,True
2024-04,i-00a1ae8,Amazon EC2,amazon_ec2_0a1ae8,eu-west-1,backend,backend@technova.de,CC-1001,staging,2023-12-26,True
2024-03,ddb-sessions,Amazon DynamoDB,ddb-sessions,eu-central-1,ml-engineering,mlteam@technova.de,CC-1005,production,2023-02-04,False
2024-06,fn-notify,AWS Lambda,fn-notify,eu-central-1,mobile,mobile@technova.de,CC-1004,production,2023-08-09,True
2024-04,ddb-sessions,Amazon DynamoDB,ddb-sessions,eu-central-1,ml-engineering,mlteam@technova.de,CC-1005,production,2023-02-04,False
2024-01,i-006d74e,Amazon EC2,amazon_ec2_06d74e,eu-west-1,devops,devops@technova.de,CC-1003,staging,2024-04-01,True
2024-01,technova-archive,Amazon S3,technova-archive,eu-central-1,devops,devops@technova.de,CC-1003,production,2023-05-29,False
