line_item_id,billing_period,usage_start_date,usage_end_date,service,resource_id,usage_type,usage_amount,usage_unit,unblended_cost,currency,region,pricing_term,tag_team,tag_environment,tag_project
LI-2000,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-00ef122,BoxUsage:t3.medium,876.695,Hrs,36.4705,USD,eu-central-1,OnDemand,mobile,production,mobile-app
LI-2001,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-005cf07,BoxUsage:m5.2xlarge,679.9932,Hrs,261.1174,USD,eu-west-1,OnDemand,mobile,production,mobile-app
LI-2002,2024-02,2024-02-01,2024-02-29,Amazon CloudFront,EDIST10002,DataTransfer-Out-Bytes,8058.4156,GB,684.9653,USD,us-east-1,Reserved,backend,,
LI-2003,2024-01,2024-01-01,2024-01-31,AWS Lambda,fn-gateway,Lambda-GB-Second,1806905.3896,Requests,0.3614,USD,us-east-1,Reserved,devops,production,infra
LI-2004,2024-03,2024-03-01,2024-03-31,Amazon CloudFront,EDIST10000,DataTransfer-Out-Bytes,5230.4227,GB,444.5859,USD,ap-southeast-1,OnDemand,ml-engineering,production,ml-platform
LI-2005,2024-06,2024-06-01,2024-06-30,Amazon CloudFront,EDIST10000,Requests-Tier1,3764.1576,GB,319.9534,USD,ap-southeast-1,Reserved,ml-engineering,prod,ml-platform
LI-2006,2024-03,2024-03-01,2024-03-31,AWS Lambda,fn-processor,Request,2954850.78,Requests,0.591,USD,eu-central-1,Spot,ml-engineering,development,ml-platform
LI-2007,2024-02,2024-02-01,2024-02-29,Amazon SQS,sqs-email,Requests,6074208.554,Requests,2.4297,USD,eu-central-1,OnDemand,backend,prod,api-core
LI-2008,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-003afd2,BoxUsage:m5.large,661.7195,Hrs,63.5251,USD,eu-central-1,OnDemand,devops,production,infra
LI-2009,2024-03,2024-03-01,2024-03-31,Amazon EKS,eks-prod-cluster,AmazonEKS-Hours:perCluster,818.4,Hrs,81.84,USD,eu-central-1,Reserved,backend,staging,api-core
LI-2010,2024-01,2024-01-01,2024-01-31,AWS Data Transfer,dt-cdn,DataTransfer-Out-Internet,3086.2164,GB,277.7595,USD,eu-central-1,Reserved,mobile,prod,mobile-app
LI-2011,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-media,TimedStorage-ByteHrs,2518.9773,GB-Mo,57.9365,USD,us-east-1,Reserved,data-platform,production,data-lake-v2
LI-2012,2024-04,2024-04-01,2024-04-30,AWS Lambda,fn-auth,Lambda-GB-Second,1887348.0614,Requests,0.3775,USD,eu-central-1,OnDemand,,,
LI-2013,2024-03,2024-03-01,2024-03-31,Amazon S3,technova-media,TimedStorage-ByteHrs,1335.1385,GB-Mo,30.7082,USD,us-east-1,Reserved,data-platform,,
